	artist	fans	rank	2015_shows	2014_shows	2013_shows	2012_shows	2011_shows	miles	all_shows	familiarity	hotttnesss	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	reggae	latin	classical	country	jazz	punk	electro house	pop	r&b	hip hop	rock	world	metal	blues	folk	bon_counts	ult_counts	acl_counts	han_counts	gba_counts	sas_counts	coa_counts	sxs_counts	bea_counts	noi_counts	genre_pick
/artists/2962931-stepdad	Stepdad	7543.0	9482.0	2.0	14.0	37.0	81.0	24.0	57114.0	165.0	0.475994	0.53467	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	7
/artists/272953-holy-ghost	Holy Ghost	75863.0	1409.0	27.0	42.0	54.0	14.0	93.0	453605.0	359.0	0.542414	0.490891	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	1	1	1	1	0	0	6
/artists/636848-neighbourhood	The Neighbourhood	211264.0	434.0	38.0	85.0	142.0	45.0	1.0	234602.0	300.0	0.528539	0.609562	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	0
/artists/425549-high-rankin	High Rankin	7015.0	9942.0	1.0	5.0	11.0	32.0	56.0	131655.0	139.0	0.39945	0.503303	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	9
/artists/38906-social-distortion	Social Distortion	120556.0	848.0	50.0	27.0	43.0	103.0	103.0	397617.0	903.0	0.728731	0.597613	0	0	0	0	0	0	0	0	0	0	0.25	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	5
/artists/115792-jack-ingram	Jack Ingram	22635.0	4098.0	35.0	52.0	56.0	47.0	77.0	330734.0	516.0	0.537316	0.52567	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.0	0.0	0.0	0	0	1	0	0	0	0	0	0	0	3
/artists/210867-squarepusher	Squarepusher	42388.0	2414.0	54.0	1.0	19.0	35.0	4.0	245561.0	203.0	0.699363	0.587536	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	6
/artists/218356-mimosa	Mimosa	27424.0	3450.0	18.0	60.0	57.0	82.0	110.0	273808.0	426.0	0.532782	0.564561	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	1	0	1	0	0
/artists/140046-belle-and-sebastian	Belle and Sebastian	248345.0	340.0	75.0	25.0	33.0	1.0	34.0	512773.0	596.0	0.754089	0.695514	1	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571428571429	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.142857142857	0	0	1	0	0	0	0	0	0	0	7
/artists/2320559-black-tusk	Black Tusk	7608.0	9440.0	78.0	37.0	118.0	128.0	37.0	243681.0	480.0	0.502903	0.529054	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.8	0.0	0.0	0	0	0	0	0	0	0	1	0	0	12
